date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2022-09,-8.37,-6.55,-11.94,-9.21,-10.71,-11.48,-13.86,-11.65,-7.63,-1.92,-7.70,-8.82
2022-10,9.96,-6.62,14.83,23.51,6.92,5.02,10.60,3.51,4.35,8.78,12.72,9.54
2022-11,5.31,-8.08,8.62,1.04,9.91,5.39,2.18,6.81,3.79,5.35,4.80,7.62
2022-12,-2.63,-28.07,-2.44,-4.20,-2.20,-7.98,-6.82,-1.21,-7.93,-1.72,-5.54,-5.03
2023-01,-0.37,29.04,7.25,2.78,3.07,9.54,13.56,-1.24,9.75,-1.05,6.36,9.51
2023-02,-2.17,10.98,-1.07,-6.91,-3.61,-0.14,-6.50,-5.31,-4.67,-4.29,-2.43,-2.61
2023-03,3.17,-0.64,-0.17,-0.42,1.60,10.57,-0.10,3.90,3.39,2.49,-8.94,1.08
2023-04,3.17,-15.26,-2.02,2.57,2.63,0.27,0.99,1.72,2.24,4.12,1.97,1.45
2023-05,-5.42,13.55,-4.15,-9.52,-8.53,8.57,-9.41,-5.84,0.52,-3.66,-3.77,-1.38
2023-06,2.85,24.66,11.57,6.47,8.69,5.87,4.62,2.62,7.83,4.66,5.86,9.71
2023-07,2.30,2.76,3.78,7.46,1.83,4.24,0.95,2.80,2.26,-0.12,6.42,3.90
2023-08,-3.78,-4.35,-2.21,1.96,-2.79,-1.63,0.16,-5.30,-0.39,-0.23,-3.61,-3.05
2023-09,-4.60,-2.58,-7.30,3.17,-6.55,-5.99,-3.20,-5.05,-5.66,-4.70,-2.04,-5.45
2023-10,-3.69,-17.90,-2.91,-6.18,-2.21,-1.74,-0.13,1.08,0.40,-4.59,-1.79,-4.09
2023-11,4.94,15.77,9.72,-1.31,6.29,12.05,6.96,5.06,7.17,5.80,10.26,10.80
2023-12,3.57,6.59,7.76,0.17,2.92,4.58,2.25,1.72,5.90,6.91,6.76,6.54
2024-01,-1.94,-17.93,-1.83,-0.11,0.52,3.17,4.57,-3.00,1.24,3.52,0.74,1.13
2024-02,1.69,7.21,6.20,3.07,3.20,6.18,-2.72,2.42,9.48,4.63,3.64,6.28
2024-03,2.96,-5.59,4.70,10.29,3.92,2.36,3.09,7.05,2.68,2.19,4.83,4.01
2024-04,-1.36,-0.95,-4.17,-0.64,-3.31,-4.38,-6.53,1.56,-4.73,-5.87,-4.17,-5.20
2024-05,0.96,-0.78,3.58,-0.45,1.95,8.16,3.74,7.98,2.47,3.20,3.55,2.68
2024-06,-2.10,6.13,-1.86,-2.11,-2.03,7.61,-0.60,-4.20,3.53,2.93,-0.28,0.06
2024-07,4.77,11.59,4.19,2.01,1.61,-1.80,3.85,6.33,0.54,0.83,7.67,4.58
2024-08,4.10,-5.13,0.37,-2.93,4.69,1.36,1.24,4.55,1.36,6.41,2.50,3.67
2024-09,0.98,14.27,2.70,-3.21,2.01,3.00,5.56,5.36,3.67,-1.84,-0.50,2.01
2024-10,-2.59,-3.14,-3.66,-0.55,-4.86,-0.18,2.37,0.69,-1.14,-3.15,2.64,-0.86
2024-11,1.53,29.71,6.90,6.54,5.04,4.97,9.18,6.21,9.96,-0.51,12.06,7.81
